symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
ITC,2024-08-08,2024-11-19,439.1,415.36,14,-5.41,-5.77,STOP_LOSS_GAP,68.6,72.7,93,57,55,60,0,60
HDFCLIFE,2024-08-08,2024-11-27,708.39,678.67,15,-4.2,-4.55,END_OF_REPLAY,66.5,66.1,83,65,55,55,0,60
TRENT,2024-08-16,2024-10-14,6489.06,7989.21,8,23.12,22.82,TARGET_2,71.4,77.8,100,70,35,70,0,50
DIVISLAB,2024-08-16,2024-10-14,4612.9,5731.31,8,24.25,23.94,TARGET_2_GAP,66.3,68.9,100,55,55,43,0,55
BHARTIARTL,2024-08-29,2024-10-07,1494.26,1669.03,5,11.7,11.46,TRAIL_STOP,66.0,68.7,100,50,55,43,0,60
BAJAJFINSV,2024-08-30,2024-11-19,1782.18,1622.16,11,-8.98,-9.32,STOP_LOSS_GAP,74.0,76.6,76,90,60,73,0,60
BRITANNIA,2024-08-30,2024-11-04,5779.51,5457.66,9,-5.57,-5.9,STOP_LOSS,66.5,69.0,100,52,55,43,0,60
CIPLA,2024-09-05,2024-10-21,1622.19,1521.32,6,-6.22,-6.56,STOP_LOSS_GAP,73.5,74.3,100,72,60,53,0,60
BAJFINANCE,2024-09-13,2024-10-21,755.19,686.67,5,-9.07,-9.34,STOP_LOSS_GAP,69.7,73.6,77,80,60,60,0,60
JSWSTEEL,2024-09-13,2025-01-02,951.99,910.05,15,-4.41,-4.75,END_OF_REPLAY,72.6,70.7,93,85,60,43,0,60
BAJAJ-AUTO,2024-09-19,2024-10-21,11288.17,9678.07,4,-14.26,-14.61,STOP_LOSS_GAP,75.0,80.2,100,65,60,70,0,60
LT,2024-09-20,2024-10-07,3722.48,3439.02,2,-7.61,-7.86,STOP_LOSS_GAP,72.8,75.8,93,65,75,60,0,60
KOTAKBANK,2024-09-20,2024-10-07,380.46,355.89,2,-6.46,-6.74,STOP_LOSS,67.6,72.0,58,75,70,80,0,60
TITAN,2024-09-20,2024-10-14,3785.81,3463.98,3,-8.5,-8.84,STOP_LOSS_GAP,70.6,69.2,83,80,60,55,0,60
ULTRACEMCO,2024-09-20,2024-10-21,11723.99,10922.78,4,-6.83,-7.17,STOP_LOSS,69.2,68.2,100,60,55,48,0,60
M&M,2024-09-26,2025-01-16,2927.33,2956.84,15,1.01,0.77,END_OF_REPLAY,70.3,77.1,100,55,40,80,0,50
MARUTI,2024-10-04,2024-10-14,13351.1,12338.41,1,-7.59,-7.82,STOP_LOSS,75.5,77.5,86,70,75,80,0,60
SUNPHARMA,2024-10-04,2024-10-28,1918.21,1812.08,3,-5.53,-5.87,STOP_LOSS,70.9,77.5,100,50,70,60,0,60
NTPC,2024-10-04,2024-10-28,419.79,383.28,3,-8.7,-8.98,STOP_LOSS_GAP,82.5,84.3,100,100,40,90,0,50
POWERGRID,2024-10-04,2024-10-28,334.27,296.77,3,-11.22,-11.61,STOP_LOSS_GAP,73.4,74.2,100,70,75,45,0,60
COALINDIA,2024-10-04,2024-10-28,458.3,401.38,3,-12.42,-12.7,STOP_LOSS_GAP,65.7,65.3,100,50,55,55,0,45
GRASIM,2024-10-04,2024-11-11,2773.06,2518.89,5,-9.17,-9.51,STOP_LOSS_GAP,65.5,65.2,100,50,55,40,0,60
EICHERMOT,2024-10-04,2024-10-28,4997.8,4532.82,3,-9.3,-9.64,STOP_LOSS_GAP,77.7,78.8,100,65,75,75,0,60
HINDALCO,2024-10-04,2024-11-04,741.71,667.19,4,-10.05,-10.41,STOP_LOSS,74.5,76.9,93,90,55,60,0,50
ICICIBANK,2024-10-11,2025-01-30,1224.45,1245.99,15,1.76,1.51,END_OF_REPLAY,73.2,76.0,93,70,55,80,0,48
BHARTIARTL,2024-10-11,2024-11-19,1648.27,1513.7,5,-8.16,-8.41,STOP_LOSS,71.7,78.0,100,65,55,60,0,55
KOTAKBANK,2024-10-14,2024-10-21,381.72,355.31,1,-6.92,-7.2,STOP_LOSS,65.9,70.5,68,70,55,70,0,60
SBILIFE,2024-10-14,2024-10-28,1732.59,1593.15,2,-8.05,-8.39,STOP_LOSS,65.2,67.9,100,55,55,43,0,48
TRENT,2024-10-18,2024-10-28,8175.04,7347.15,1,-10.13,-10.46,STOP_LOSS_GAP,69.1,76.1,100,60,35,70,0,50
TECHM,2024-10-18,2025-02-05,1630.26,1614.29,15,-0.98,-1.31,END_OF_REPLAY,76.6,81.2,100,67,55,80,0,60
DIVISLAB,2024-10-18,2024-10-28,6186.68,5675.2,1,-8.27,-8.6,STOP_LOSS,72.7,78.7,100,50,55,80,0,60
DIVISLAB,2024-11-01,2025-02-19,5788.04,5908.0,15,2.07,1.75,END_OF_REPLAY,69.4,76.3,100,65,35,70,0,45
CIPLA,2024-11-04,2024-11-19,1553.28,1436.04,2,-7.55,-7.89,STOP_LOSS_GAP,68.0,72.3,95,45,75,60,0,55
HDFCBANK,2024-11-11,2025-01-09,871.37,814.48,8,-6.53,-6.79,STOP_LOSS,67.3,66.7,87,70,75,33,0,60
HCLTECH,2024-11-19,2025-02-27,1708.54,1535.75,14,-10.11,-10.46,STOP_LOSS_GAP,66.3,65.9,95,55,60,43,0,60
EICHERMOT,2024-11-19,2025-03-06,4901.89,5029.19,15,2.6,2.27,END_OF_REPLAY,66.9,66.4,80,60,75,55,0,60
INFY,2024-11-27,2025-02-27,1829.59,1668.64,13,-8.8,-9.05,STOP_LOSS_GAP,68.9,68.0,100,60,75,33,0,60
APOLLOHOSP,2024-11-27,2025-02-12,6954.69,6324.13,11,-9.07,-9.4,STOP_LOSS_GAP,65.2,59.9,95,60,75,25,0,55
SUNPHARMA,2024-12-26,2025-01-30,1812.54,1704.99,5,-5.93,-6.27,STOP_LOSS,68.4,65.6,100,60,90,25,0,55
